chr_snp	Chromosome	SNP	Env	BF	empirical_p	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110
CE10_chr2_18740754	CE10_chr2	18740754	4	10.96503814	0.0012038342770942512	2	14	1	9	12	2	8	2	10	4	13	7	14	2	8	0	18	0	6	14	11	9	0	20	0	22	2	16	1	15	5	9	4	14	7	3	2	6	4	0	3	7	4	4	11	1	14	6	12	8	6	2	3	1	1	1	5	3	0	2	0	2	9	5	12	8	6	14	15	1	12	4	13	7	3	1	6	14	5	5	3	5	17	1	5	3	3	1	4	4	7	9	5	5	14	0	19	1	2	4	2	0	2	2	3	3	2	0	19	1
CE10_chr2_18963095	CE10_chr2	18963095	4	12.84442754	7.586567324060489e-4	5	13	1	9	9	5	8	2	9	5	10	10	13	3	8	0	17	1	5	13	14	6	0	20	0	22	1	19	3	15	6	8	6	12	5	5	3	5	3	1	3	7	4	4	12	0	8	12	10	8	5	3	3	1	1	1	5	3	2	2	0	2	8	6	12	8	8	12	15	1	11	5	11	7	3	1	7	11	5	3	3	5	17	1	5	5	3	1	5	3	7	9	6	4	14	0	18	2	0	6	2	0	1	3	4	2	0	0	18	2
CE10_chr2_18963361	CE10_chr2	18963361	4	12.51033498	8.212598246278846e-4	0	6	0	2	9	3	8	2	7	5	11	7	14	0	8	0	17	1	6	10	12	6	0	0	0	2	0	0	2	0	4	0	6	0	4	0	0	0	2	0	3	7	4	4	11	1	8	10	10	10	4	4	4	0	1	1	6	2	1	3	0	2	9	5	12	6	10	10	14	2	11	7	10	8	3	1	4	12	5	3	1	7	16	2	5	3	3	1	4	4	5	11	5	5	14	0	18	2	1	5	2	0	1	3	4	2	2	0	20	0
CE10_chr2_18963606	CE10_chr2	18963606	4	10.18383484	0.0014639849047713982	0	4	0	0	9	5	8	2	7	1	8	8	14	0	8	0	17	1	4	14	11	7	0	0	0	2	2	0	2	0	4	0	2	0	2	0	0	0	4	0	3	7	4	4	11	1	9	9	9	9	3	3	3	1	1	1	3	3	0	4	0	2	8	4	14	6	8	12	14	2	7	7	11	9	3	1	4	12	4	4	1	7	17	3	3	5	3	1	3	3	6	10	5	5	14	0	17	3	2	4	2	0	2	2	4	2	2	0	17	1
CE10_chr3_22603120	CE10_chr3	22603120	4	30.91482435	9.738258790026322e-6	16	0	10	0	12	2	10	0	14	0	18	2	11	5	4	2	17	1	18	2	17	3	20	0	22	0	20	0	20	0	14	0	18	0	10	0	6	0	4	0	8	2	8	0	12	0	20	0	20	0	8	0	4	0	2	0	8	0	4	0	2	0	13	1	17	3	20	0	8	6	13	3	18	2	4	0	16	2	10	0	4	4	18	0	3	5	4	0	7	1	16	0	6	4	14	0	20	0	6	0	2	0	4	0	6	0	2	0	14	6
CE10_chr3_45243530	CE10_chr3	45243530	4	31.69264931	7.41962574479782e-6	15	3	9	1	8	4	10	0	14	0	14	6	16	0	8	0	18	0	20	0	20	0	10	8	20	2	17	3	20	0	10	4	5	11	10	0	8	0	4	0	8	2	5	3	12	0	17	3	19	1	8	0	4	0	2	0	8	0	4	0	2	0	14	0	18	0	20	0	16	0	18	0	20	0	4	0	20	0	6	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	14	0	20	0	4	0	2	0	4	0	4	0	1	1	20	0
CE10_chr3_9069251	CE10_chr3	9069251	4	10.74271904	0.001269683455579429	18	0	10	0	14	0	9	1	14	0	16	4	14	2	8	0	7	11	17	1	19	1	20	0	20	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	10	2	18	2	15	5	5	3	4	0	2	0	7	1	0	4	1	1	2	12	13	7	6	14	14	2	3	15	1	19	3	1	8	12	10	0	1	7	17	3	1	9	4	0	8	0	14	2	9	1	4	10	7	11	1	5	0	0	4	0	6	0	2	0	15	5
CE10_chr3_9075196	CE10_chr3	9075196	4	10.93263066	0.0012154274423205047	18	0	8	0	14	0	8	0	14	0	18	2	12	0	8	0	5	1	17	1	18	2	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	9	3	16	0	16	4	2	0	4	0	2	0	8	0	0	2	0	0	2	12	16	4	7	9	2	0	3	9	2	16	4	0	7	13	10	0	2	6	16	2	1	9	4	0	8	0	15	1	7	1	5	7	7	9	2	2	0	0	4	0	6	0	0	2	12	6
CE10_chr3_9075675	CE10_chr3	9075675	4	13.16816334	7.04864445756237e-4	18	0	10	0	14	0	9	1	14	0	16	4	13	3	8	0	11	3	19	1	19	1	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	9	3	18	2	15	5	5	3	4	0	2	0	7	1	0	4	2	0	3	9	11	9	4	16	10	6	3	9	0	18	3	1	7	13	8	0	1	5	17	3	2	8	4	0	8	0	15	1	8	2	5	5	6	10	2	4	1	1	4	0	6	0	2	0	16	4
CE10_chr3_9075764	CE10_chr3	9075764	4	10.21821486	0.0014486819266728013	18	0	10	0	14	0	9	1	14	0	17	3	14	2	8	0	8	4	19	1	19	1	20	0	21	1	18	2	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	9	3	18	2	15	5	5	3	4	0	2	0	7	1	0	4	2	0	3	9	14	4	6	14	9	7	1	9	0	16	3	1	7	13	10	0	1	7	17	3	1	9	4	0	8	0	14	2	7	3	2	10	7	9	2	4	1	1	4	0	6	0	2	0	16	4
CE10_chr3_9076085	CE10_chr3	9076085	4	17.34410856	2.6293298733148784e-4	18	0	10	0	14	0	10	0	14	0	14	2	12	2	8	0	8	10	18	2	18	2	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	9	1	17	1	15	5	3	1	4	0	2	0	7	1	0	4	1	1	3	11	13	5	6	14	9	3	4	14	0	18	3	1	7	11	9	1	1	7	15	5	1	9	4	0	8	0	14	2	7	3	3	11	6	14	1	5	1	1	4	0	6	0	2	0	13	7
CE10_chr3_9076384	CE10_chr3	9076384	4	12.27764551	8.657775790966715e-4	18	0	10	0	14	0	9	1	14	0	16	4	11	3	8	0	8	8	18	2	19	1	18	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	9	3	20	0	14	6	4	4	4	0	2	0	8	0	0	4	2	0	2	10	16	4	7	13	9	5	4	12	1	19	3	1	7	13	10	0	1	7	14	2	0	10	4	0	8	0	13	1	7	3	4	10	6	14	1	5	1	1	4	0	6	0	0	0	13	7
CE10_chr3_9076446	CE10_chr3	9076446	4	19.34196322	1.6833275908523238e-4	18	0	10	0	14	0	9	1	14	0	16	4	14	2	8	0	9	9	18	2	19	1	18	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	2	0	10	0	8	0	9	3	17	1	15	5	5	3	4	0	2	0	7	1	0	4	2	0	2	12	15	5	7	13	9	7	3	13	1	17	3	1	7	13	10	0	1	7	16	4	0	8	4	0	8	0	13	1	8	2	3	9	6	14	0	6	1	1	4	0	6	0	2	0	14	4
CE10_chr3_9077851	CE10_chr3	9077851	4	14.33715295	5.337493270167748e-4	18	0	10	0	14	0	9	1	14	0	16	4	12	0	8	0	10	6	18	2	19	1	20	0	20	0	18	0	18	0	14	0	16	0	10	0	8	0	4	0	10	0	8	0	10	2	18	2	14	6	6	2	4	0	2	0	7	1	0	4	1	1	3	9	10	10	8	12	10	6	2	14	1	19	3	1	7	13	9	1	1	7	15	5	1	9	4	0	8	0	15	1	7	1	3	11	6	14	2	4	1	1	4	0	6	0	2	0	15	5
CE10_chr3_9077890	CE10_chr3	9077890	4	13.13328614	7.118203448920335e-4	18	0	10	0	14	0	9	1	14	0	16	4	14	2	8	0	10	8	17	3	19	1	20	0	20	0	18	0	18	0	14	0	16	0	10	0	8	0	4	0	10	0	8	0	10	2	17	1	15	5	7	1	4	0	2	0	8	0	0	4	0	0	3	11	10	10	8	10	8	4	2	8	1	19	3	1	8	12	9	1	1	7	15	5	1	7	4	0	8	0	14	2	8	2	3	11	6	14	1	5	1	1	4	0	6	0	2	0	15	5
CE10_chr3_9078994	CE10_chr3	9078994	4	16.70516056	3.125517344998441e-4	18	0	8	0	14	0	9	1	14	0	16	4	12	4	6	0	10	8	17	3	19	1	19	1	21	1	20	0	20	0	14	0	16	0	10	0	8	0	4	0	10	0	8	0	4	4	19	1	15	5	5	3	4	0	2	0	7	1	0	4	0	0	2	10	11	5	5	13	12	4	1	17	2	18	3	1	6	12	9	1	1	5	17	3	1	7	4	0	8	0	15	1	6	2	3	9	5	13	1	5	2	0	4	0	6	0	1	1	15	5
CE10_chr3_9085092	CE10_chr3	9085092	4	11.56558303	0.0010290093454823346	18	0	10	0	14	0	9	1	14	0	16	4	12	4	8	0	6	10	15	3	18	2	20	0	22	0	20	0	18	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	9	3	18	2	15	5	5	3	4	0	2	0	7	1	1	3	1	1	2	10	14	6	3	15	9	7	1	15	1	19	3	1	8	12	9	1	1	7	18	2	2	8	4	0	8	0	15	1	9	1	3	9	6	14	1	5	2	0	4	0	6	0	1	1	14	6
CE10_chr4_9192349	CE10_chr4	9192349	4	11.09512996	0.001162098882279805	16	2	2	6	12	2	6	4	14	0	19	1	16	0	5	1	7	7	7	9	16	2	0	20	22	0	18	2	18	2	11	3	4	14	0	10	4	4	3	1	10	0	8	0	9	3	20	0	20	0	6	2	4	0	2	0	8	0	0	4	2	0	1	13	16	4	17	3	10	6	17	1	8	12	4	0	11	9	8	2	3	5	20	0	4	6	4	0	7	1	11	1	9	1	5	9	14	4	6	0	2	0	4	0	5	1	2	0	19	1
CE10_chr4_9196208	CE10_chr4	9196208	4	15.83974392	3.7840091298491085e-4	15	3	2	6	12	2	7	3	14	0	19	1	16	0	5	3	9	9	10	6	16	4	0	18	22	0	18	2	18	2	10	2	3	15	0	10	2	4	4	0	10	0	8	0	10	0	20	0	20	0	7	1	4	0	2	0	8	0	0	4	2	0	1	11	16	2	16	4	13	3	16	2	9	11	4	0	12	8	8	2	5	3	18	0	3	5	4	0	6	2	13	3	9	1	3	11	16	4	6	0	2	0	4	0	5	1	2	0	20	0
CE10_chr5_41092420	CE10_chr5	41092420	4	31.55719402	8.347078962911425e-6	16	2	10	0	10	4	4	6	9	3	19	1	6	8	8	0	18	0	19	1	17	3	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	7	3	6	2	11	1	7	13	17	3	6	2	4	0	2	0	4	4	2	0	2	0	14	0	8	10	8	12	14	0	12	4	17	3	2	2	11	9	9	1	8	0	20	0	9	1	4	0	8	0	16	0	10	0	12	0	19	1	6	0	2	0	4	0	6	0	2	0	17	3
CE10_chr5_41618024	CE10_chr5	41618024	4	40.50411903	4.637266090012915e-7	14	2	8	0	5	9	5	5	8	4	18	2	9	5	8	0	16	0	18	0	11	3	15	1	22	0	20	0	20	0	12	0	18	0	4	0	8	0	4	0	5	5	6	2	6	6	4	16	10	10	5	3	4	0	2	0	6	2	3	1	2	0	11	3	7	11	10	10	2	14	15	3	19	1	2	2	11	9	8	2	8	0	20	0	8	2	4	0	8	0	14	0	8	2	14	0	18	0	0	0	0	0	2	0	6	0	0	0	16	2
CE10_chr5_4772358	CE10_chr5	4772358	4	34.63857458	3.709812872454421e-6	18	0	10	0	14	0	10	0	12	0	16	2	16	0	8	0	17	1	14	6	20	0	20	0	22	0	20	0	20	0	14	0	16	2	10	0	8	0	4	0	9	1	8	0	11	1	20	0	19	1	8	0	4	0	2	0	8	0	4	0	1	1	13	1	19	1	20	0	16	0	16	0	16	0	2	0	20	0	10	0	8	0	19	1	10	0	1	3	5	3	12	4	8	0	14	0	20	0	6	0	2	0	4	0	6	0	2	0	20	0
CE10_chr6_10160755	CE10_chr6	10160755	4	30.71650074	1.0665712008139927e-5	16	2	10	0	12	2	9	1	10	4	10	6	16	0	8	0	14	4	10	8	20	0	20	0	22	0	20	0	20	0	12	0	18	0	6	0	8	0	4	0	6	4	2	6	7	5	11	9	15	5	8	0	2	2	2	0	5	3	4	0	1	1	9	1	20	0	19	1	14	2	14	2	19	1	1	3	18	0	8	0	4	4	20	0	7	3	4	0	5	1	11	5	3	7	11	3	20	0	4	0	2	0	4	0	6	0	2	0	18	0
CE10_chr6_10163917	CE10_chr6	10163917	4	30.0117433	1.2056891835254824e-5	18	0	10	0	12	2	9	1	11	3	14	6	16	0	8	0	14	4	10	8	20	0	20	0	22	0	18	0	20	0	14	0	18	0	10	0	8	0	4	0	6	4	2	6	7	5	14	6	15	5	6	0	2	2	2	0	4	4	2	0	0	0	11	3	20	0	19	1	16	0	14	4	13	1	1	3	17	1	10	0	5	3	20	0	6	2	4	0	7	1	12	4	3	7	10	4	20	0	6	0	2	0	4	0	6	0	2	0	17	1
CE10_chr6_46784609	CE10_chr6	46784609	4	34.85447877	3.2460862633421073e-6	15	3	10	0	11	3	7	3	11	3	17	1	10	6	7	1	9	9	17	3	12	8	20	0	22	0	20	0	20	0	12	0	18	0	10	0	8	0	4	0	10	0	8	0	11	1	13	7	12	6	4	4	4	0	1	1	7	1	4	0	2	0	12	0	17	3	15	5	13	1	16	2	8	12	3	1	17	3	7	3	8	0	1	19	7	3	4	0	8	0	16	0	10	0	7	7	16	4	5	1	2	0	4	0	6	0	1	1	20	0
CE10_chr6_51522866	CE10_chr6	51522866	4	37.50246044	9.274532181136053e-7	17	1	10	0	10	2	8	2	14	0	6	10	2	6	6	2	10	8	9	7	8	10	20	0	22	0	20	0	20	0	12	0	18	0	10	0	8	0	4	0	10	0	8	0	12	0	14	0	7	5	7	1	1	1	1	1	8	0	4	0	2	0	11	1	3	11	9	7	5	5	9	9	12	6	0	0	11	9	7	3	7	1	0	18	4	2	2	2	6	2	14	2	8	2	3	11	8	10	6	0	0	2	4	0	5	1	0	2	18	2
CE10_chr6_52686250	CE10_chr6	52686250	4	11.44398928	0.0010545143089800701	15	3	6	4	10	2	3	7	4	10	9	11	2	14	3	5	6	12	19	1	10	10	17	3	21	1	15	3	11	9	14	0	15	3	10	0	8	0	4	0	7	3	8	0	9	3	11	9	10	10	8	0	4	0	2	0	7	1	4	0	1	1	3	11	6	14	9	9	2	12	7	9	10	10	3	1	10	10	10	0	3	5	17	3	6	4	2	2	3	5	6	8	10	0	14	0	16	4	1	5	0	0	3	1	6	0	2	0	10	8
CE10_chr6_52686491	CE10_chr6	52686491	4	10.97712714	0.0011996607376127955	14	4	6	4	11	3	4	6	4	10	12	8	2	14	4	4	6	12	19	1	10	10	16	4	20	2	15	3	10	10	14	0	15	3	10	0	8	0	4	0	5	3	8	0	7	3	11	9	10	10	8	0	4	0	2	0	8	0	4	0	2	0	2	10	6	14	9	9	1	13	9	9	10	10	3	1	10	10	10	0	3	5	18	2	6	4	2	2	3	5	6	10	10	0	12	2	14	6	1	5	2	0	2	0	6	0	2	0	10	8
CE10_chr6_52686805	CE10_chr6	52686805	4	13.6119413	6.306681883082588e-4	16	2	6	4	10	2	3	7	5	9	9	11	2	12	5	3	6	12	20	0	11	9	17	3	21	1	13	3	9	9	14	0	15	3	10	0	8	0	4	0	6	4	8	0	8	2	11	7	11	9	8	0	4	0	2	0	7	1	4	0	2	0	0	14	7	13	10	10	3	13	8	10	11	9	4	0	10	10	10	0	4	4	18	2	5	5	2	2	4	4	5	11	10	0	12	2	12	6	1	5	2	0	3	1	6	0	2	0	10	10
CE10_chr6_52686940	CE10_chr6	52686940	4	10.48228367	0.001355936604862773	15	3	6	4	11	3	3	7	3	11	9	9	2	14	4	4	5	11	19	1	11	9	17	3	20	2	15	5	9	11	14	0	15	3	10	0	8	0	4	0	6	4	8	0	9	3	10	10	11	9	8	0	4	0	2	0	7	1	4	0	1	1	0	14	7	13	12	6	3	13	9	7	10	10	4	0	9	11	10	0	2	4	18	2	5	5	2	2	4	4	5	11	10	0	10	2	14	6	1	5	2	0	3	1	5	1	2	0	5	13
CE10_chr6_52687031	CE10_chr6	52687031	4	10.45981537	0.0013642836838256844	16	2	6	4	9	3	3	7	3	11	10	10	2	14	5	3	5	9	19	1	10	10	18	2	20	2	14	4	12	8	14	0	15	3	10	0	8	0	4	0	7	3	8	0	10	2	12	8	11	9	8	0	3	1	2	0	6	2	4	0	1	1	0	12	6	14	9	9	2	14	7	7	9	11	3	1	9	11	10	0	4	4	17	1	4	6	2	2	3	5	6	6	10	0	10	2	14	6	1	5	2	0	3	1	6	0	2	0	5	11
CE10_chr6_52687062	CE10_chr6	52687062	4	12.18711747	8.898913627672922e-4	14	2	6	4	11	3	3	7	3	11	10	10	2	12	4	4	7	11	19	1	10	10	18	2	20	2	14	4	10	8	14	0	15	3	10	0	8	0	4	0	6	4	8	0	9	3	13	7	11	9	8	0	3	1	2	0	6	2	4	0	1	1	0	12	6	14	11	9	2	14	7	7	9	11	3	1	9	11	10	0	4	4	17	1	5	5	2	2	3	5	8	8	10	0	12	2	13	7	1	5	2	0	3	1	6	0	2	0	6	10
CE10_chr6_52687204	CE10_chr6	52687204	4	16.46190036	3.3156452547089543e-4	14	2	6	4	11	3	3	7	3	9	10	10	2	12	4	4	5	9	19	1	10	8	19	1	21	1	12	4	8	6	14	0	15	3	10	0	8	0	4	0	7	3	8	0	9	3	12	8	12	8	8	0	3	1	2	0	7	1	4	0	1	1	0	12	6	14	9	11	1	9	12	6	7	9	3	1	11	9	10	0	4	2	19	1	6	4	2	2	3	5	7	7	10	0	11	1	14	6	1	1	0	0	3	1	5	1	2	0	10	10
CE10_chr6_52688239	CE10_chr6	52688239	4	12.71875882	7.81843062858556e-4	15	1	4	4	12	2	2	6	3	11	10	10	2	14	6	2	5	11	20	0	11	9	16	4	19	3	17	3	10	6	14	0	15	3	10	0	8	0	4	0	5	5	8	0	8	2	11	9	11	9	8	0	3	1	2	0	7	1	4	0	2	0	2	12	5	11	9	11	3	13	8	8	11	9	3	1	11	9	10	0	4	4	19	1	5	5	2	2	3	5	9	7	10	0	12	2	14	6	0	6	2	0	4	0	3	1	2	0	10	10
CE10_chr6_52689350	CE10_chr6	52689350	4	10.36221239	0.001399063179504445	14	2	6	4	12	0	2	2	2	10	9	1	2	8	6	2	6	10	19	1	10	10	18	2	21	1	17	3	9	11	14	0	15	1	10	0	8	0	4	0	4	0	8	0	9	3	7	5	9	1	8	0	2	0	2	0	7	1	4	0	2	0	1	7	3	5	5	3	1	11	9	3	9	7	2	0	8	4	10	0	2	0	18	2	2	0	2	2	3	5	3	3	10	0	10	0	13	5	0	4	2	0	3	1	4	2	2	0	7	5
CE10_chr6_56507576	CE10_chr6	56507576	4	35.46850541	2.7823596543408158e-6	12	2	2	6	13	1	7	3	11	3	6	14	13	3	6	2	17	1	11	7	15	3	6	14	13	9	13	7	17	1	6	8	2	16	6	4	1	5	2	0	8	2	4	4	7	5	20	0	12	8	8	0	2	2	0	2	6	2	2	2	1	1	11	3	20	0	12	4	9	5	15	3	15	1	3	1	19	1	7	3	7	1	6	14	5	5	2	2	4	4	7	9	3	7	5	9	13	7	5	1	0	0	0	2	5	1	2	0	14	2
CE10_chr6_56508405	CE10_chr6	56508405	4	20.93073818	1.1500419904442172e-4	15	3	0	6	13	1	7	3	12	2	8	12	13	3	6	2	18	0	11	7	17	1	5	15	14	8	16	4	18	2	5	7	3	15	5	5	1	7	0	0	8	2	4	4	5	5	20	0	12	8	8	0	2	2	0	2	7	1	2	2	1	1	7	3	18	0	15	3	12	4	17	1	14	4	2	2	19	1	4	6	7	1	5	13	6	2	2	2	3	3	5	9	3	5	7	5	12	6	3	1	1	1	0	2	3	1	2	0	17	3
CE10_chr6_56508444	CE10_chr6	56508444	4	10.62692012	0.0013123463036119887	13	1	0	0	12	0	6	0	12	0	9	1	10	0	4	0	18	0	10	0	18	0	3	1	13	1	11	1	17	1	7	1	3	1	5	1	2	0	0	0	6	0	4	0	4	0	20	0	12	0	8	0	2	0	0	0	6	0	2	0	0	2	4	0	18	0	16	0	10	0	14	0	12	0	0	0	19	1	4	0	8	0	6	0	4	0	2	0	2	0	3	1	3	1	4	0	10	0	2	0	0	0	0	0	4	0	2	0	16	0
