chr_snp	Chromosome	SNP	Env	BF	empirical_p	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110
CE10_chr3_45243530	CE10_chr3	45243530	5	35.40786442	5.564719308570609e-6	15	3	9	1	8	4	10	0	14	0	14	6	16	0	8	0	18	0	20	0	20	0	10	8	20	2	17	3	20	0	10	4	5	11	10	0	8	0	4	0	8	2	5	3	12	0	17	3	19	1	8	0	4	0	2	0	8	0	4	0	2	0	14	0	18	0	20	0	16	0	18	0	20	0	4	0	20	0	6	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	14	0	20	0	4	0	2	0	4	0	4	0	1	1	20	0
CE10_chr3_45575389	CE10_chr3	45575389	5	40.50015161	1.3911798271148967e-6	1	15	2	8	7	5	7	3	4	8	3	17	10	6	0	8	7	7	10	6	2	14	0	14	0	20	0	20	0	18	0	14	0	18	0	6	0	6	0	4	2	4	0	6	1	9	8	8	8	8	1	7	0	2	0	2	3	5	1	3	0	2	3	9	12	6	10	8	5	7	8	10	7	11	4	0	10	8	4	6	5	3	5	15	7	3	0	2	1	7	0	14	2	8	0	14	0	20	0	0	0	2	0	4	0	6	0	0	0	20
CE10_chr4_6796591	CE10_chr4	6796591	5	31.51333334	1.2056891835254824e-5	18	0	10	0	14	0	10	0	12	2	7	13	7	9	8	0	7	11	11	9	6	10	19	1	22	0	20	0	20	0	12	0	18	0	10	0	8	0	4	0	10	0	8	0	9	1	19	1	11	9	8	0	4	0	2	0	6	2	1	3	2	0	12	2	12	6	9	11	2	12	1	13	2	18	3	1	15	5	7	3	3	3	16	4	4	6	4	0	7	1	10	6	7	3	1	13	15	5	0	4	2	0	0	4	3	3	2	0	10	8
CE10_chr5_2834779	CE10_chr5	2834779	5	31.6354858	1.1593165226253532e-5	17	1	10	0	9	5	9	1	11	1	3	15	2	14	4	4	15	3	17	3	9	11	20	0	21	1	20	0	20	0	14	0	18	0	10	0	8	0	4	0	3	7	8	0	10	0	16	4	14	4	6	2	2	0	1	1	6	2	3	1	2	0	9	5	14	6	4	16	0	14	2	14	3	17	2	2	9	9	4	6	5	3	1	17	5	5	0	4	3	5	15	1	8	2	3	9	14	6	5	1	1	1	1	3	6	0	2	0	9	11
CE10_chr5_41092420	CE10_chr5	41092420	5	33.78183619	7.41962574479782e-6	16	2	10	0	10	4	4	6	9	3	19	1	6	8	8	0	18	0	19	1	17	3	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	7	3	6	2	11	1	7	13	17	3	6	2	4	0	2	0	4	4	2	0	2	0	14	0	8	10	8	12	14	0	12	4	17	3	2	2	11	9	9	1	8	0	20	0	9	1	4	0	8	0	16	0	10	0	12	0	19	1	6	0	2	0	4	0	6	0	2	0	17	3
CE10_chr6_34482083	CE10_chr6	34482083	5	32.96581408	9.27453218102503e-6	18	0	10	0	13	1	10	0	11	3	17	3	16	0	8	0	15	1	20	0	9	7	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	7	3	8	0	12	0	17	3	16	4	7	1	3	1	2	0	8	0	4	0	1	1	12	0	18	2	20	0	11	5	7	7	19	1	3	1	17	3	6	2	5	3	20	0	1	9	4	0	5	1	14	0	9	1	11	1	18	2	2	2	2	0	0	4	4	2	0	0	17	1
CE10_chr6_3508334	CE10_chr6	3508334	5	30.71967311	1.4375524880594348e-5	0	0	2	0	4	0	2	6	8	2	16	0	14	0	6	2	5	7	2	6	3	7	0	2	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	4	4	4	0	10	2	6	6	7	1	3	3	0	0	0	0	6	0	2	0	2	0	1	1	6	2	9	3	10	6	13	3	20	0	2	0	10	0	4	0	2	0	14	0	0	0	4	0	5	1	6	4	1	5	9	3	0	8	2	2	1	1	0	0	2	0	0	0	2	0
CE10_chr6_47952398	CE10_chr6	47952398	5	35.72162567	5.100992699569318e-6	18	0	10	0	9	5	7	3	14	0	19	1	14	0	8	0	6	12	20	0	15	5	20	0	22	0	20	0	20	0	13	1	18	0	8	0	8	0	4	0	10	0	8	0	9	3	18	2	18	2	8	0	4	0	1	1	8	0	3	1	2	0	10	4	18	2	18	2	15	1	16	2	15	5	4	0	19	1	10	0	8	0	18	0	8	0	4	0	7	1	14	2	10	0	5	9	15	5	6	0	2	0	4	0	6	0	1	1	12	4
CE10_chr6_52344183	CE10_chr6	52344183	5	33.46985849	7.883352353799111e-6	18	0	10	0	12	2	9	1	14	0	17	3	16	0	3	5	11	7	18	2	17	3	20	0	22	0	20	0	20	0	12	0	18	0	10	0	8	0	4	0	10	0	7	1	11	1	15	5	19	1	4	2	4	0	2	0	8	0	4	0	2	0	14	0	20	0	19	1	12	2	14	2	13	7	1	3	17	3	9	1	6	2	4	16	2	8	1	3	5	3	15	1	7	3	8	6	16	4	3	3	0	0	3	1	3	3	2	0	15	5
CE10_chr6_52686805	CE10_chr6	52686805	5	10.98560804	0.0014778967030428802	16	2	6	4	10	2	3	7	5	9	9	11	2	12	5	3	6	12	20	0	11	9	17	3	21	1	13	3	9	9	14	0	15	3	10	0	8	0	4	0	6	4	8	0	8	2	11	7	11	9	8	0	4	0	2	0	7	1	4	0	2	0	0	14	7	13	10	10	3	13	8	10	11	9	4	0	10	10	10	0	4	4	18	2	5	5	2	2	4	4	5	11	10	0	12	2	12	6	1	5	2	0	3	1	6	0	2	0	10	10
CE10_chr6_53299313	CE10_chr6	53299313	5	31.16381113	1.2984345053368429e-5	6	6	1	5	11	3	9	1	14	0	12	6	1	13	6	2	10	8	9	11	1	17	3	5	6	6	5	5	10	2	12	0	6	2	6	2	4	0	0	4	10	0	6	2	4	2	19	1	19	1	5	3	4	0	1	1	8	0	4	0	2	0	11	1	17	3	20	0	9	3	17	1	11	7	2	0	11	7	5	5	3	3	17	1	0	10	0	4	6	2	11	5	5	5	3	7	2	18	3	3	0	2	0	4	0	4	2	0	6	12
CE10_chr6_55652433	CE10_chr6	55652433	5	14.33759236	6.334505479625996e-4	18	0	10	0	12	2	9	1	14	0	14	4	2	12	6	0	16	2	9	7	6	14	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	10	2	18	2	20	0	8	0	4	0	2	0	8	0	4	0	2	0	14	0	17	3	17	3	10	6	14	2	14	6	2	2	14	6	8	2	8	0	16	2	10	0	4	0	5	3	13	3	8	2	8	6	8	12	2	4	1	1	0	4	0	6	1	1	15	5
CE10_chr6_55652476	CE10_chr6	55652476	5	18.35550074	2.21661319125932e-4	16	0	10	0	12	2	9	1	14	0	16	4	2	14	8	0	16	2	9	9	5	13	20	0	22	0	18	0	18	0	14	0	18	0	10	0	8	0	3	1	10	0	8	0	10	2	18	2	20	0	8	0	4	0	2	0	8	0	4	0	2	0	14	0	18	2	14	4	11	3	12	2	14	6	2	2	14	6	8	2	8	0	19	1	10	0	4	0	5	1	12	2	7	1	6	8	8	12	1	5	1	1	0	4	0	6	0	2	16	4
CE10_chr6_55652579	CE10_chr6	55652579	5	24.31374424	5.935700595838256e-5	18	0	10	0	12	2	9	1	14	0	16	4	2	12	8	0	16	2	12	8	5	13	20	0	22	0	18	0	20	0	14	0	18	0	10	0	8	0	3	1	10	0	8	0	10	2	16	2	20	0	8	0	4	0	1	1	8	0	4	0	2	0	14	0	18	2	14	6	10	4	15	3	14	6	2	2	15	5	7	3	8	0	17	3	10	0	4	0	5	3	12	2	8	2	7	7	8	12	2	4	1	1	0	4	0	6	1	1	17	3
CE10_chr6_55655842	CE10_chr6	55655842	5	18.5729305	2.119230603359057e-4	18	0	10	0	12	2	8	2	14	0	14	4	2	14	8	0	16	2	10	8	7	13	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	3	1	10	0	8	0	12	0	18	2	20	0	8	0	2	0	2	0	8	0	3	1	2	0	13	1	18	2	14	6	12	4	14	4	14	6	2	2	14	6	8	2	8	0	17	3	10	0	4	0	4	4	14	2	8	0	6	6	8	12	1	5	1	1	0	4	0	6	0	0	17	3
CE10_chr6_55656562	CE10_chr6	55656562	5	23.44967611	7.18776244027497e-5	18	0	10	0	10	2	9	1	14	0	13	3	2	14	8	0	17	1	13	7	7	13	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	8	0	12	0	18	2	20	0	8	0	2	0	1	1	8	0	3	1	2	0	14	0	20	0	14	4	8	8	12	4	12	6	2	2	14	6	8	2	8	0	17	3	10	0	4	0	6	2	15	1	7	3	6	6	8	12	1	5	1	1	0	4	0	6	0	2	14	4
CE10_chr6_55657728	CE10_chr6	55657728	5	12.79056169	9.385826567175348e-4	14	4	6	4	10	4	7	1	14	0	14	6	2	14	5	3	5	11	10	10	5	15	16	0	22	0	18	0	20	0	12	2	18	0	10	0	8	0	3	1	10	0	8	0	6	4	19	1	18	0	8	0	3	1	1	1	8	0	3	1	2	0	7	7	12	2	10	8	4	10	2	14	12	8	0	4	13	7	4	2	2	4	18	2	1	9	0	4	1	7	9	7	3	5	4	8	7	11	0	4	0	2	0	4	0	6	1	1	15	3
CE10_chr6_56503642	CE10_chr6	56503642	5	14.41642371	6.167563900367767e-4	12	6	3	7	10	4	5	5	11	3	6	14	14	2	6	2	16	2	13	5	17	3	3	17	12	8	9	11	14	4	5	9	2	16	0	8	1	7	3	1	5	5	4	4	7	5	18	0	12	8	8	0	2	2	0	2	6	2	2	2	1	1	9	5	20	0	15	3	10	6	15	3	12	8	1	3	14	6	4	4	7	1	6	14	5	3	2	2	4	4	9	7	3	7	8	6	10	10	5	1	2	0	1	3	5	1	2	0	17	3
CE10_chr6_56505767	CE10_chr6	56505767	5	37.28989029	4.1735394814557125e-6	13	5	3	7	13	1	7	3	12	2	7	13	14	2	7	1	17	1	12	6	17	3	4	16	13	9	14	4	18	2	6	6	2	16	5	5	2	6	3	1	7	1	4	4	6	6	20	0	13	7	8	0	2	2	0	2	4	4	2	2	1	1	6	6	20	0	15	3	9	7	18	0	17	3	2	2	19	1	6	4	7	1	7	11	5	5	2	2	4	4	9	7	3	7	8	4	11	9	5	1	2	0	0	0	4	2	2	0	18	2
CE10_chr6_56507576	CE10_chr6	56507576	5	37.02886861	4.637266090457004e-6	12	2	2	6	13	1	7	3	11	3	6	14	13	3	6	2	17	1	11	7	15	3	6	14	13	9	13	7	17	1	6	8	2	16	6	4	1	5	2	0	8	2	4	4	7	5	20	0	12	8	8	0	2	2	0	2	6	2	2	2	1	1	11	3	20	0	12	4	9	5	15	3	15	1	3	1	19	1	7	3	7	1	6	14	5	5	2	2	4	4	7	9	3	7	5	9	13	7	5	1	0	0	0	2	5	1	2	0	14	2
CE10_chr6_56508360	CE10_chr6	56508360	5	18.18724902	2.3510939078841275e-4	15	3	0	6	13	1	7	3	12	2	8	12	13	3	6	2	18	0	10	6	18	2	5	15	14	8	16	4	18	2	6	8	3	15	5	5	1	7	0	0	8	2	4	4	5	5	20	0	11	9	8	0	2	2	0	2	6	2	2	2	1	1	10	2	20	0	16	4	10	6	16	2	14	4	2	2	17	1	4	6	7	1	6	14	8	2	2	2	4	4	7	9	3	5	9	5	13	7	3	3	1	1	2	2	3	1	2	0	17	3
CE10_chr6_56508405	CE10_chr6	56508405	5	15.96792359	4.284833867623794e-4	15	3	0	6	13	1	7	3	12	2	8	12	13	3	6	2	18	0	11	7	17	1	5	15	14	8	16	4	18	2	5	7	3	15	5	5	1	7	0	0	8	2	4	4	5	5	20	0	12	8	8	0	2	2	0	2	7	1	2	2	1	1	7	3	18	0	15	3	12	4	17	1	14	4	2	2	19	1	4	6	7	1	5	13	6	2	2	2	3	3	5	9	3	5	7	5	12	6	3	1	1	1	0	2	3	1	2	0	17	3
CE10_chr7_41252062	CE10_chr7	41252062	5	10.94202603	0.0014918085013144733	13	5	9	1	6	8	7	3	12	2	4	16	12	4	7	1	3	15	4	16	8	12	20	0	18	4	12	6	16	2	9	1	16	2	4	6	8	0	2	0	6	2	7	1	6	6	16	4	17	3	6	2	3	1	2	0	8	0	3	1	1	1	12	2	10	10	16	4	1	15	3	15	12	8	3	1	11	9	3	7	3	5	8	12	3	7	3	1	4	4	13	3	3	7	6	8	11	7	0	6	0	0	0	0	3	1	1	1	10	6
CE10_chr7_41253948	CE10_chr7	41253948	5	17.19507158	3.0559583536404755e-4	13	5	10	0	6	8	7	3	12	2	4	14	12	4	8	0	3	15	5	13	8	10	20	0	17	5	14	6	16	4	11	3	16	2	4	6	8	0	3	1	7	3	6	2	5	7	15	5	17	3	6	2	4	0	1	1	8	0	2	0	2	0	10	2	12	8	16	4	1	15	7	11	12	8	1	3	14	6	3	7	3	5	9	11	4	4	4	0	3	5	11	3	2	8	6	8	11	7	0	6	0	2	1	3	4	2	1	1	11	7
CE10_chr7_5148538	CE10_chr7	5148538	5	33.80979332	6.955899135796528e-6	3	9	2	6	7	5	3	7	10	2	14	4	14	0	0	0	1	15	12	4	6	12	0	18	0	14	0	12	0	14	4	10	0	18	0	8	0	2	0	4	2	8	4	4	3	9	4	16	7	13	4	4	4	0	0	2	4	4	1	3	2	0	2	12	4	16	11	9	3	13	11	7	1	13	2	0	11	9	2	8	2	6	8	12	0	6	1	3	3	5	4	6	3	7	11	3	9	9	4	2	1	1	3	1	3	3	0	2	4	12
CE10_chr7_707471	CE10_chr7	707471	5	30.65918797	1.483925148959564e-5	18	0	10	0	10	2	10	0	11	3	18	2	15	1	7	1	13	5	15	3	18	2	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	8	2	8	0	12	0	19	1	19	1	6	2	4	0	2	0	7	1	2	0	2	0	11	3	16	4	17	3	16	0	8	10	14	4	2	2	18	2	9	1	8	0	17	3	4	6	4	0	4	4	16	0	10	0	0	12	19	1	6	0	2	0	4	0	6	0	2	0	12	8
CE10_chr8_4031174	CE10_chr8	4031174	5	28.57461219	1.854906436205006e-5	18	0	10	0	14	0	9	1	12	0	20	0	16	0	8	0	16	2	13	7	7	11	20	0	22	0	20	0	20	0	14	0	18	0	10	0	8	0	4	0	10	0	7	1	12	0	20	0	20	0	8	0	4	0	0	2	8	0	4	0	2	0	14	0	20	0	20	0	16	0	16	0	20	0	4	0	19	1	9	1	8	0	20	0	10	0	2	0	8	0	16	0	7	1	10	4	9	9	2	4	1	1	3	1	2	4	2	0	9	9
CE10_chr8_4031576	CE10_chr8	4031576	5	26.24035737	3.2460862633532095e-5	14	4	10	0	9	5	5	5	10	4	13	7	9	7	8	0	13	3	9	11	6	14	20	0	21	1	19	1	19	1	14	0	16	0	10	0	8	0	4	0	7	3	7	1	8	4	11	9	8	12	0	8	4	0	0	2	4	4	2	2	2	0	10	2	9	11	9	9	6	10	8	8	6	14	2	2	10	10	7	3	8	0	19	1	8	2	4	0	7	1	12	4	1	9	6	8	5	15	1	5	2	0	2	2	1	5	2	0	6	12
CE10_chr8_46713230	CE10_chr8	46713230	5	37.43223232	3.709812872454421e-6	13	3	10	0	7	7	7	3	10	4	20	0	10	6	8	0	13	5	13	3	6	14	20	0	19	1	18	2	20	0	11	3	18	0	7	3	7	1	4	0	6	4	6	2	9	3	7	11	15	5	5	3	0	4	1	1	8	0	4	0	2	0	3	9	11	7	20	0	4	10	13	3	15	1	2	0	14	4	8	2	2	6	18	2	3	7	4	0	6	2	12	4	10	0	14	0	14	4	6	0	1	1	1	3	1	5	1	1	4	14
CE10_chr8_47309158	CE10_chr8	47309158	5	11.16997669	0.0014041641722039033	15	3	10	0	9	3	8	2	13	1	13	5	4	10	7	1	9	9	18	2	15	5	19	1	22	0	20	0	20	0	10	4	16	2	10	0	8	0	4	0	10	0	6	2	12	0	15	5	16	2	4	4	4	0	2	0	8	0	4	0	2	0	7	7	16	4	18	0	15	1	15	3	15	5	1	3	14	6	8	0	4	4	14	4	8	2	0	4	8	0	16	0	10	0	8	4	20	0	6	0	2	0	4	0	6	0	2	0	6	14
CE10_chr8_47310455	CE10_chr8	47310455	5	21.03746323	1.2381500461644546e-4	14	2	8	0	10	4	4	6	9	3	11	9	4	12	7	1	9	9	18	2	15	5	19	1	22	0	20	0	20	0	10	4	12	2	10	0	7	1	4	0	8	2	6	0	12	0	13	7	8	12	4	4	4	0	2	0	7	1	2	2	2	0	6	6	15	1	20	0	15	1	13	5	2	14	1	3	8	10	7	1	1	7	14	4	2	8	0	4	8	0	13	3	9	1	8	6	20	0	6	0	2	0	4	0	6	0	2	0	7	11
