Site,Year,CE10_chr1_37223448,CE10_chr1_38804192,CE10_chr1_38807318,CE10_chr1_42286199,CE10_chr2_41926519,CE10_chr2_52168171,CE10_chr3_21997815,CE10_chr3_36301179,CE10_chr3_45243530,CE10_chr3_45575389,CE10_chr4_6796591,CE10_chr5_2834779,CE10_chr5_41092420,CE10_chr6_3508334,CE10_chr6_34482083,CE10_chr6_47952398,CE10_chr6_52344183,CE10_chr6_52686805,CE10_chr6_53299313,CE10_chr6_55652579,CE10_chr6_55657728,CE10_chr6_56505767,CE10_chr7_707471,CE10_chr7_5148538,CE10_chr7_41253948,CE10_chr8_4031174,CE10_chr8_4031576,CE10_chr8_46713230,CE10_chr8_47310455
8,2011,8,0,0,0,1,3,6,0,0,8,8,4,8,6,8,8,3,5,6,8,5,1,7,0,8,8,8,8,7
8,2014,0,0,0,0,0,0,1,0,0,2,2,2,2,0,0,0,0,0,2,2,2,0,2,2,0,2,2,2,0
8,2015,8,7,4,0,0,3,4,0,0,10,8,3,10,4,10,8,1,7,8,10,7,0,9,0,7,10,10,10,1
8,2016,18,7,4,0,0,8,14,0,0,16,15,6,15,6,18,16,4,11,12,16,16,2,16,1,12,18,18,17,7
9,2010,13,9,4,6,0,7,15,0,0,7,7,15,18,5,15,6,11,6,10,16,5,1,13,15,3,16,13,13,9
9,2012,2,2,3,0,0,0,6,0,0,5,8,7,2,0,8,2,4,1,7,5,2,2,8,8,4,8,8,6,4
9,2013,5,4,2,6,0,0,6,2,0,4,2,6,8,0,8,8,6,7,0,4,3,2,8,8,3,7,7,2,8
9,2014,10,10,9,0,0,2,9,0,0,7,5,8,10,3,7,0,6,2,2,7,5,0,9,5,2,7,7,10,7
9,2015,14,10,8,5,0,1,13,0,0,4,4,10,14,2,14,1,10,4,7,8,4,1,7,13,4,13,10,11,10
9,2016,12,10,7,10,1,1,16,0,0,6,15,12,17,5,16,4,11,6,9,11,6,6,13,19,7,17,18,18,16
