Site,Year,CE10_chr1_444798,CE10_chr1_12558579,CE10_chr1_36921933,CE10_chr1_37863528,CE10_chr1_38804192,CE10_chr1_38806089,CE10_chr1_38809930,CE10_chr1_42800221,CE10_chr2_3286564,CE10_chr2_5171393,CE10_chr2_6534392,CE10_chr2_9310245,CE10_chr2_9464739,CE10_chr2_18599218,CE10_chr2_18690631,CE10_chr2_18697479,CE10_chr2_18965007,CE10_chr2_18974047,CE10_chr3_689388,CE10_chr3_10712307,CE10_chr3_10805357,CE10_chr3_15058760,CE10_chr3_16265253,CE10_chr3_18772534,CE10_chr3_19541189,CE10_chr3_25122852,CE10_chr3_27884673,CE10_chr3_31533872,CE10_chr3_34111168,CE10_chr3_34361182,CE10_chr3_34938872,CE10_chr3_45576452,CE10_chr3_49427972,CE10_chr4_43424322,CE10_chr4_49079132,CE10_chr5_9282000,CE10_chr5_9839887,CE10_chr5_41935919,CE10_chr6_44342063,CE10_chr6_54474139,CE10_chr7_701615,CE10_chr7_2535310,CE10_chr7_22741377,CE10_chr7_40760110,CE10_chr7_41246261,CE10_chr7_41247812,CE10_chr7_41271416,CE10_chr7_42408406,CE10_chr7_42733456,CE10_chr7_43336930,CE10_chr8_2514047,CE10_chr8_2756411,CE10_chr8_12390215,CE10_chr8_43930850
12,2010,10,0,20,20,20,4,6,19,12,20,20,18,20,5,20,0,20,0,0,8,20,18,20,20,20,20,20,18,20,19,20,20,20,18,12,20,20,20,11,11,20,18,20,11,20,20,20,1,20,20,15,0,14,0
12,2011,8,0,14,14,12,6,4,14,7,14,14,14,14,6,14,0,14,0,0,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,14,14,14,8,5,14,14,14,4,14,14,14,0,14,14,10,0,8,1
12,2013,7,0,12,12,12,6,10,12,2,12,12,12,12,1,12,0,12,2,0,2,12,12,12,12,12,10,12,12,12,12,12,12,12,12,9,12,12,12,6,0,12,12,12,5,12,12,12,0,12,12,8,0,9,0
12,2015,8,0,10,10,10,6,6,10,6,9,10,10,8,2,10,0,10,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,7,0,10,10,10,4,9,9,9,0,10,10,3,0,8,0
12,2016,4,0,8,8,8,4,4,8,4,8,8,8,8,4,8,0,8,0,0,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,6,8,0,2,8,8,8,4,8,8,8,0,8,8,6,0,8,0
1,2010,14,8,13,6,18,4,3,17,16,17,13,16,17,9,14,2,14,2,6,16,18,16,16,18,17,14,14,10,14,14,14,17,10,18,14,16,18,16,12,14,15,15,18,16,12,13,13,6,17,17,16,1,10,0
1,2011,11,7,12,8,14,2,2,12,14,14,11,14,12,11,14,4,14,2,5,2,14,14,14,14,14,14,14,14,12,13,8,14,12,14,10,14,12,14,13,12,11,12,14,14,11,12,12,7,14,14,14,0,12,1
1,2012,4,10,12,4,12,6,0,11,10,12,12,12,12,9,12,0,12,0,0,8,12,12,12,12,12,10,12,12,12,12,12,12,4,12,12,12,12,10,10,11,12,12,12,12,8,9,6,9,12,12,12,0,9,0
1,2013,10,8,12,6,10,2,1,9,10,10,9,12,12,5,11,0,11,3,3,10,12,12,12,12,12,10,11,11,10,11,10,11,8,12,12,12,10,12,10,8,11,12,10,10,12,11,7,4,12,10,10,0,11,0
1,2014,20,17,20,8,20,8,5,20,20,20,16,16,20,14,16,2,20,4,2,12,20,20,20,20,20,19,20,18,18,20,18,20,20,20,13,20,20,20,20,19,19,20,20,20,17,14,14,10,20,16,18,0,11,1
2,2010,5,2,10,8,10,3,6,10,9,9,9,10,9,8,10,2,9,0,4,4,10,8,10,10,10,10,10,10,8,10,9,7,10,10,8,10,8,10,6,8,10,9,10,10,9,9,10,4,10,8,5,0,8,1
2,2011,9,2,9,10,11,5,5,12,9,12,12,8,12,6,12,2,12,6,0,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,10,12,11,12,12,12,10,7,11,6,10,12,11,0,6,0
2,2014,12,4,14,16,16,6,6,18,18,17,12,17,18,4,18,5,16,4,0,2,18,18,18,18,18,17,17,16,18,15,18,18,18,18,14,18,18,18,16,11,18,18,18,15,17,17,18,7,17,15,18,0,15,2
2,2015,12,1,14,14,14,4,7,14,14,13,13,12,12,3,12,2,14,0,0,4,14,14,14,14,14,14,14,14,12,14,13,14,14,12,14,12,12,12,13,12,12,14,14,14,12,13,14,4,14,8,8,0,8,0
2,2016,2,1,3,4,6,4,2,6,4,6,2,4,5,4,6,4,6,6,0,1,5,4,4,4,3,4,4,4,3,4,6,6,4,6,2,5,4,6,6,5,6,6,6,6,6,5,2,1,6,6,3,0,2,0
3,2010,6,0,1,0,13,4,2,13,3,10,7,10,7,12,12,10,8,10,8,10,12,9,14,14,14,3,6,6,4,3,1,7,7,13,6,14,11,10,11,6,8,11,12,12,8,7,10,6,8,7,9,0,3,4
3,2011,1,0,0,0,4,2,0,4,1,4,4,4,4,0,1,0,1,2,4,4,4,4,4,0,0,0,0,0,0,0,1,2,2,4,2,4,4,2,2,4,4,0,4,4,3,4,4,2,4,2,4,1,1,2
3,2012,3,0,5,0,4,5,0,5,4,5,5,3,6,5,5,6,5,5,5,6,6,6,6,5,1,1,2,1,1,1,0,4,3,6,1,4,6,1,3,6,6,4,6,3,1,4,4,2,4,2,5,3,0,1
3,2013,3,0,5,0,10,6,0,8,2,8,5,9,9,5,4,4,4,4,6,10,10,7,10,10,10,4,7,6,4,4,0,8,2,10,7,10,10,3,4,7,10,4,10,8,7,10,10,8,4,2,10,5,0,0
3,2014,3,0,12,2,10,4,0,14,9,13,7,11,14,11,12,9,11,11,11,16,16,14,16,13,14,7,8,11,7,6,0,13,9,16,7,16,14,3,3,14,16,3,16,11,10,15,15,6,8,2,7,9,0,0
3,2015,5,0,6,0,15,14,0,15,6,14,11,13,11,12,12,10,11,12,6,18,18,16,18,13,12,4,7,4,5,5,0,13,5,18,6,18,17,8,10,14,18,4,18,15,9,16,16,12,10,4,16,6,2,2
3,2016,2,0,4,0,4,2,0,8,3,6,7,8,6,6,5,6,5,6,8,8,8,8,8,5,5,1,1,1,1,1,0,8,2,6,3,6,8,0,3,6,8,3,8,5,6,8,8,4,3,3,4,4,2,0
4,2010,3,0,4,0,5,4,0,8,5,7,5,10,6,8,8,8,8,8,5,6,8,10,10,9,9,8,7,6,8,9,0,2,7,10,0,10,2,5,7,4,10,3,10,6,4,7,8,4,8,6,3,3,2,0
4,2011,3,0,0,0,4,4,0,4,2,2,2,2,2,1,1,0,1,1,2,4,4,3,4,4,4,1,4,4,2,2,0,4,4,4,2,4,4,0,2,4,4,0,4,1,0,4,4,3,4,3,0,2,0,0
4,2012,9,0,5,2,10,7,0,13,6,18,6,10,8,9,11,9,10,7,10,11,17,17,18,14,15,9,11,12,12,9,3,11,7,18,5,16,13,6,9,12,18,8,18,14,13,15,16,2,15,9,4,5,3,2
4,2013,2,0,2,2,6,4,0,8,0,3,2,3,3,7,6,6,6,6,5,6,8,7,8,3,3,1,2,3,1,1,1,6,4,8,4,8,8,3,7,8,8,4,8,5,4,8,8,4,6,2,3,4,0,3
4,2014,0,0,1,0,2,2,0,1,2,2,2,2,2,1,1,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,1,2,2,0,2,2,2,2,2,2,1,1,1,1,2,2,0,0,0,0
5,2010,5,0,7,4,14,1,0,12,4,4,14,5,11,10,11,12,13,8,9,14,14,14,14,14,14,2,4,4,3,4,2,9,7,14,8,14,14,12,2,14,12,10,14,13,3,13,10,3,3,3,12,1,2,3
5,2012,9,0,15,0,20,16,6,12,7,18,15,6,13,19,19,18,18,18,9,10,18,18,19,20,20,3,3,3,2,2,0,12,4,20,10,2,10,10,2,18,14,14,20,14,0,11,11,4,13,9,12,2,3,4
5,2014,3,0,8,2,9,4,1,12,11,9,5,6,1,9,9,8,7,8,10,7,12,12,12,11,12,3,3,3,3,4,0,10,4,12,3,6,9,6,6,8,6,5,12,9,5,11,12,3,10,0,6,0,0,1
5,2015,7,0,9,0,10,4,1,12,4,10,8,7,6,9,9,8,9,8,4,8,11,12,12,11,10,4,1,2,2,4,0,11,6,12,6,9,10,8,0,12,12,6,12,11,5,10,7,0,4,3,10,0,4,6
5,2016,2,0,8,0,10,3,0,11,1,10,8,4,5,5,5,2,3,4,7,9,11,12,12,11,11,3,2,2,4,3,1,10,4,12,8,9,11,9,1,12,10,6,10,12,5,10,9,0,5,9,8,1,1,3
6,2010,14,0,7,0,8,1,1,12,0,18,7,11,2,11,12,7,10,11,0,15,20,9,17,15,16,4,7,5,4,4,9,17,8,15,9,13,5,15,9,16,20,15,12,10,15,5,4,8,11,8,6,0,5,0
6,2013,2,0,1,0,3,0,0,2,0,2,0,4,1,2,2,2,2,2,0,3,4,0,3,3,1,0,0,0,0,0,0,2,2,4,2,4,1,3,3,4,4,4,1,3,4,3,0,2,4,1,2,0,3,0
6,2014,10,0,5,0,9,3,1,12,0,7,7,3,2,13,13,10,11,12,0,12,16,12,16,9,9,6,7,7,6,6,2,14,7,10,8,16,10,8,0,10,16,14,8,11,6,2,3,6,7,4,8,0,2,0
6,2015,0,0,2,0,0,0,0,4,0,3,1,1,2,2,2,1,1,1,0,3,4,2,4,1,1,2,1,1,0,0,1,3,0,4,2,2,2,4,1,2,4,1,3,0,3,0,2,4,4,3,0,0,1,0
6,2016,0,0,0,0,2,0,0,2,0,2,0,0,2,1,1,2,1,1,0,2,2,0,2,0,0,0,0,0,0,0,1,2,2,2,0,2,1,2,0,2,2,1,2,2,2,0,0,0,0,0,1,0,0,0
7,2010,12,2,6,6,15,1,3,10,2,16,5,12,15,13,15,13,15,13,0,10,16,7,11,11,10,5,3,4,2,5,6,7,14,9,2,16,5,10,8,8,16,13,5,0,14,13,0,0,16,14,15,0,3,0
7,2012,2,0,8,4,9,4,4,9,0,16,3,3,10,12,16,16,16,16,0,14,16,8,14,13,15,7,6,4,0,5,2,5,14,16,5,16,3,11,7,2,16,15,0,7,7,7,0,0,14,13,12,0,4,0
7,2013,8,0,8,10,10,0,0,12,0,12,4,4,10,18,20,20,20,18,0,12,18,3,18,18,19,2,2,1,0,2,2,9,18,20,5,20,0,15,12,4,20,16,1,10,13,9,0,0,20,14,14,0,2,0
7,2014,12,0,4,4,13,1,2,5,0,17,2,6,12,18,17,17,17,17,0,7,16,4,12,14,10,5,5,5,0,5,7,6,18,8,6,18,6,12,6,4,18,12,0,2,12,10,0,4,18,11,15,0,11,0
7,2016,10,0,8,2,15,0,1,10,0,10,4,11,13,18,18,18,18,18,0,12,18,1,12,12,12,0,0,1,0,1,6,5,15,16,4,16,0,10,2,5,18,16,0,4,10,13,0,0,12,11,17,0,3,0
8,2011,7,0,3,0,0,0,0,8,5,7,6,6,0,5,8,8,8,8,6,8,4,7,8,8,8,4,5,6,4,4,4,8,4,8,0,5,6,7,3,2,8,8,8,8,6,8,5,0,7,8,3,0,2,0
8,2014,2,0,1,0,0,0,0,2,1,2,2,2,0,0,2,2,2,2,0,0,0,0,1,2,2,0,0,0,0,0,2,2,2,2,0,0,0,2,0,0,2,2,2,2,0,0,0,0,2,2,2,0,1,0
8,2015,8,0,1,0,7,5,5,10,4,4,9,7,5,9,10,10,10,10,1,3,2,0,4,4,5,1,1,1,0,1,8,8,8,10,0,10,10,9,6,4,10,8,10,8,6,8,7,2,8,7,2,0,1,0
8,2016,15,0,12,0,7,5,5,17,9,11,14,12,4,14,17,17,18,18,0,14,8,12,15,16,16,13,13,13,10,13,3,17,8,18,0,15,12,14,9,7,18,15,16,13,9,11,10,0,15,11,4,0,7,0
9,2010,15,0,13,0,9,6,5,15,1,11,9,7,4,15,15,15,15,17,7,11,9,10,15,14,14,7,9,3,3,6,8,9,10,18,0,6,3,16,4,14,13,8,18,17,8,3,3,0,1,9,0,0,1,0
9,2012,8,0,1,0,2,3,3,7,0,5,2,5,6,4,3,3,5,5,1,6,6,5,5,7,6,3,3,4,5,4,4,7,0,8,0,4,3,8,2,3,8,0,8,6,7,3,5,6,0,3,2,0,0,0
9,2013,0,0,3,4,4,4,4,4,8,1,2,8,1,5,7,4,5,6,0,2,1,4,6,6,6,6,6,6,6,6,4,8,2,8,1,2,2,8,3,0,8,3,8,6,5,4,3,0,2,1,1,0,3,1
9,2014,8,0,3,0,10,9,8,6,0,7,6,4,3,8,10,10,10,10,1,9,10,9,10,10,10,7,8,9,8,7,2,7,0,10,3,9,3,10,4,8,7,6,10,10,6,2,2,0,0,2,0,0,0,0
9,2015,12,0,6,0,10,8,8,11,0,9,9,3,1,14,14,14,12,14,2,11,12,11,12,13,11,11,13,13,13,14,1,11,5,14,0,5,7,10,8,10,14,7,14,11,6,3,4,0,0,7,0,0,2,0
9,2016,18,0,5,0,10,7,7,13,0,14,13,9,6,17,17,16,17,16,4,12,17,8,16,14,14,8,8,10,9,9,7,15,10,18,0,7,6,14,3,4,14,8,20,19,12,9,8,4,0,8,0,0,0,0
